,name,qid,measure,value
117,TerrierRetr(BM25),test-health-dhgsshbesbc-pro03a,R@10,0.0
118,TerrierRetr(BM25),test-health-dhgsshbesbc-pro03a,R@100,1.0
119,TerrierRetr(BM25),test-health-dhgsshbesbc-pro03a,RR@10,0.0
120,TerrierRetr(BM25),test-health-dhgsshbesbc-pro04a,R@10,1.0
121,TerrierRetr(BM25),test-health-dhgsshbesbc-pro04a,R@100,1.0
122,TerrierRetr(BM25),test-health-dhgsshbesbc-pro04a,RR@10,0.5
141,TerrierRetr(BM25),test-health-dhiacihwph-con01a,R@10,1.0
142,TerrierRetr(BM25),test-health-dhiacihwph-con01a,R@100,1.0
143,TerrierRetr(BM25),test-health-dhiacihwph-con01a,RR@10,0.5
135,TerrierRetr(BM25),test-health-dhiacihwph-con02a,R@10,0.0
136,TerrierRetr(BM25),test-health-dhiacihwph-con02a,R@100,1.0
137,TerrierRetr(BM25),test-health-dhiacihwph-con02a,RR@10,0.0
138,TerrierRetr(BM25),test-health-dhiacihwph-con03a,R@10,1.0
139,TerrierRetr(BM25),test-health-dhiacihwph-con03a,R@100,1.0
140,TerrierRetr(BM25),test-health-dhiacihwph-con03a,RR@10,0.3333333333333333
126,TerrierRetr(BM25),test-health-dhiacihwph-pro02a,R@10,0.0
127,TerrierRetr(BM25),test-health-dhiacihwph-pro02a,R@100,1.0
128,TerrierRetr(BM25),test-health-dhiacihwph-pro02a,RR@10,0.0
129,TerrierRetr(BM25),test-health-dhiacihwph-pro03a,R@10,1.0
130,TerrierRetr(BM25),test-health-dhiacihwph-pro03a,R@100,1.0
131,TerrierRetr(BM25),test-health-dhiacihwph-pro03a,RR@10,0.5
132,TerrierRetr(BM25),test-health-dhiacihwph-pro04a,R@10,1.0
133,TerrierRetr(BM25),test-health-dhiacihwph-pro04a,R@100,1.0
134,TerrierRetr(BM25),test-health-dhiacihwph-pro04a,RR@10,0.125
84,TerrierRetr(BM25),test-health-hdond-con02a,R@10,0.0
85,TerrierRetr(BM25),test-health-hdond-con02a,R@100,1.0
86,TerrierRetr(BM25),test-health-hdond-con02a,RR@10,0.0
90,TerrierRetr(BM25),test-health-hdond-con03a,R@10,1.0
91,TerrierRetr(BM25),test-health-hdond-con03a,R@100,1.0
92,TerrierRetr(BM25),test-health-hdond-con03a,RR@10,0.125
87,TerrierRetr(BM25),test-health-hdond-con04a,R@10,1.0
88,TerrierRetr(BM25),test-health-hdond-con04a,R@100,1.0
89,TerrierRetr(BM25),test-health-hdond-con04a,RR@10,0.5
81,TerrierRetr(BM25),test-health-hdond-pro04a,R@10,1.0
82,TerrierRetr(BM25),test-health-hdond-pro04a,R@100,1.0
83,TerrierRetr(BM25),test-health-hdond-pro04a,RR@10,0.2
180,TerrierRetr(BM25),test-health-hpehwadvoee-con01a,R@10,0.0
181,TerrierRetr(BM25),test-health-hpehwadvoee-con01a,R@100,1.0
182,TerrierRetr(BM25),test-health-hpehwadvoee-con01a,RR@10,0.0
171,TerrierRetr(BM25),test-health-hpehwadvoee-con02a,R@10,1.0
172,TerrierRetr(BM25),test-health-hpehwadvoee-con02a,R@100,1.0
173,TerrierRetr(BM25),test-health-hpehwadvoee-con02a,RR@10,0.5
177,TerrierRetr(BM25),test-health-hpehwadvoee-con04a,R@10,1.0
178,TerrierRetr(BM25),test-health-hpehwadvoee-con04a,R@100,1.0
179,TerrierRetr(BM25),test-health-hpehwadvoee-con04a,RR@10,0.25
174,TerrierRetr(BM25),test-health-hpehwadvoee-con05a,R@10,1.0
175,TerrierRetr(BM25),test-health-hpehwadvoee-con05a,R@100,1.0
176,TerrierRetr(BM25),test-health-hpehwadvoee-con05a,RR@10,0.125
168,TerrierRetr(BM25),test-health-hpehwadvoee-pro02a,R@10,1.0
169,TerrierRetr(BM25),test-health-hpehwadvoee-pro02a,R@100,1.0
170,TerrierRetr(BM25),test-health-hpehwadvoee-pro02a,RR@10,0.5
111,TerrierRetr(BM25),test-health-ppelfhwbpba-con01a,R@10,1.0
112,TerrierRetr(BM25),test-health-ppelfhwbpba-con01a,R@100,1.0
113,TerrierRetr(BM25),test-health-ppelfhwbpba-con01a,RR@10,0.16666666666666666
105,TerrierRetr(BM25),test-health-ppelfhwbpba-con02a,R@10,1.0
106,TerrierRetr(BM25),test-health-ppelfhwbpba-con02a,R@100,1.0
107,TerrierRetr(BM25),test-health-ppelfhwbpba-con02a,RR@10,0.5
108,TerrierRetr(BM25),test-health-ppelfhwbpba-con03a,R@10,0.0
109,TerrierRetr(BM25),test-health-ppelfhwbpba-con03a,R@100,1.0
110,TerrierRetr(BM25),test-health-ppelfhwbpba-con03a,RR@10,0.0
96,TerrierRetr(BM25),test-health-ppelfhwbpba-pro01a,R@10,1.0
97,TerrierRetr(BM25),test-health-ppelfhwbpba-pro01a,R@100,1.0
98,TerrierRetr(BM25),test-health-ppelfhwbpba-pro01a,RR@10,0.5
93,TerrierRetr(BM25),test-health-ppelfhwbpba-pro02a,R@10,1.0
94,TerrierRetr(BM25),test-health-ppelfhwbpba-pro02a,R@100,1.0
95,TerrierRetr(BM25),test-health-ppelfhwbpba-pro02a,RR@10,0.5
99,TerrierRetr(BM25),test-health-ppelfhwbpba-pro03a,R@10,1.0
100,TerrierRetr(BM25),test-health-ppelfhwbpba-pro03a,R@100,1.0
101,TerrierRetr(BM25),test-health-ppelfhwbpba-pro03a,RR@10,0.3333333333333333
102,TerrierRetr(BM25),test-health-ppelfhwbpba-pro04a,R@10,1.0
103,TerrierRetr(BM25),test-health-ppelfhwbpba-pro04a,R@100,1.0
104,TerrierRetr(BM25),test-health-ppelfhwbpba-pro04a,RR@10,0.5
363,TerrierRetr(BM25),test-international-aghbfcpspr-con04a,R@10,1.0
364,TerrierRetr(BM25),test-international-aghbfcpspr-con04a,R@100,1.0
365,TerrierRetr(BM25),test-international-aghbfcpspr-con04a,RR@10,0.5
435,TerrierRetr(BM25),test-international-aghwrem-pro01a,R@10,1.0
436,TerrierRetr(BM25),test-international-aghwrem-pro01a,R@100,1.0
437,TerrierRetr(BM25),test-international-aghwrem-pro01a,RR@10,0.2
432,TerrierRetr(BM25),test-international-aghwrem-pro05a,R@10,1.0
433,TerrierRetr(BM25),test-international-aghwrem-pro05a,R@100,1.0
434,TerrierRetr(BM25),test-international-aghwrem-pro05a,RR@10,0.2
483,TerrierRetr(BM25),test-international-aglhrilhb-con01a,R@10,0.0
484,TerrierRetr(BM25),test-international-aglhrilhb-con01a,R@100,1.0
485,TerrierRetr(BM25),test-international-aglhrilhb-con01a,RR@10,0.0
480,TerrierRetr(BM25),test-international-aglhrilhb-con03a,R@10,0.0
481,TerrierRetr(BM25),test-international-aglhrilhb-con03a,R@100,1.0
482,TerrierRetr(BM25),test-international-aglhrilhb-con03a,RR@10,0.0
477,TerrierRetr(BM25),test-international-aglhrilhb-pro03a,R@10,0.0
478,TerrierRetr(BM25),test-international-aglhrilhb-pro03a,R@100,1.0
479,TerrierRetr(BM25),test-international-aglhrilhb-pro03a,RR@10,0.0
393,TerrierRetr(BM25),test-international-amehbuaisji-con02a,R@10,1.0
394,TerrierRetr(BM25),test-international-amehbuaisji-con02a,R@100,1.0
395,TerrierRetr(BM25),test-international-amehbuaisji-con02a,RR@10,0.25
390,TerrierRetr(BM25),test-international-amehbuaisji-pro03a,R@10,0.0
391,TerrierRetr(BM25),test-international-amehbuaisji-pro03a,R@100,0.0
392,TerrierRetr(BM25),test-international-amehbuaisji-pro03a,RR@10,0.0
375,TerrierRetr(BM25),test-international-apwhbaucmip-con01a,R@10,1.0
376,TerrierRetr(BM25),test-international-apwhbaucmip-con01a,R@100,1.0
377,TerrierRetr(BM25),test-international-apwhbaucmip-con01a,RR@10,0.5
372,TerrierRetr(BM25),test-international-apwhbaucmip-con02a,R@10,1.0
373,TerrierRetr(BM25),test-international-apwhbaucmip-con02a,R@100,1.0
374,TerrierRetr(BM25),test-international-apwhbaucmip-con02a,RR@10,0.2
366,TerrierRetr(BM25),test-international-apwhbaucmip-pro02a,R@10,0.0
367,TerrierRetr(BM25),test-international-apwhbaucmip-pro02a,R@100,1.0
